Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0233,12/26/2024,12/29/2024,MCDONALD'S M6299 OF HI,Food & Drink,Sale,-13.90,
0233,12/26/2024,12/27/2024,SQ *POLYNESIAN CULTURAL C,Food & Drink,Sale,-8.00,
0233,12/27/2024,12/27/2024,Subway 3067,Food & Drink,Sale,-38.72,
0233,12/25/2024,12/27/2024,ABC #39 HAWAII,Merchandise & Inventory,Sale,-7.06,
0233,12/26/2024,12/27/2024,SQ *POLYNESIAN CULTURAL C,Food & Drink,Sale,-48.50,
0233,12/25/2024,12/27/2024,POLYNESIAN CULTURAL CNTR,Entertainment,Sale,-313.76,
0233,12/26/2024,12/27/2024,SQ *POLYNESIAN CULTURAL C,Food & Drink,Sale,-8.00,
0233,12/25/2024,12/26/2024,SHERATON WAIKIKI PARKING,Travel,Sale,-25.00,
0233,12/25/2024,12/26/2024,CALI PIZZA KITC INC #035,Food & Drink,Sale,-72.53,
0233,12/25/2024,12/26/2024,CURSOR  AI POWERED IDE,Office & Shipping,Sale,-20.00,
0233,12/24/2024,12/26/2024,MCDONALD'S M6002 OF HI,Food & Drink,Sale,-13.59,
0233,12/24/2024,12/26/2024,GRAND NANILOA HOTEL HILO,Travel,Sale,-144.38,
0233,12/26/2024,12/26/2024,TST*NOI THAI CUISINE - H,Food & Drink,Sale,-143.10,
0233,12/24/2024,12/26/2024,ROCK-A-HULA AUTHNET,Entertainment,Sale,-328.00,
0233,12/23/2024,12/25/2024,KTA SUPER STORES 03A,Food & Drink,Sale,-23.13,
0233,12/23/2024,12/24/2024,GDP*Manuela Malasada Co,Food & Drink,Sale,-69.55,
0233,12/20/2024,12/20/2024,CODEIUM.COM,Office & Shipping,Sale,-106.60,
0233,12/17/2024,12/18/2024,HELLO INDIA,Food & Drink,Sale,-25.94,
0233,12/14/2024,12/16/2024,QT 997 INSIDE,Gas,Sale,-4.99,
0233,12/15/2024,12/16/2024,GAMMA.APP,Office & Shipping,Sale,-96.00,
0233,12/14/2024,12/15/2024,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-21.28,
0233,12/12/2024,12/15/2024,HELLO INDIA,Food & Drink,Sale,-35.67,
0233,12/12/2024,12/15/2024,Nyx*Dark Moon LLC,Food & Drink,Sale,-1.00,
0233,12/12/2024,12/13/2024,SQ *DESI VILLAGE,Food & Drink,Sale,-7.62,
0233,12/10/2024,12/10/2024,AUTOMATIC PAYMENT - THANK,,Payment,827.42,
0233,12/08/2024,12/09/2024,BABAI HOTEL,Food & Drink,Sale,-200.26,
0233,12/04/2024,12/05/2024,YUMMY THAI,Food & Drink,Sale,-124.30,
0233,12/03/2024,12/04/2024,365 COMPANY,Education,Sale,-62.58,
0233,12/01/2024,12/03/2024,KWALITY ICECREAM,Food & Drink,Sale,-12.63,
0233,12/02/2024,12/03/2024,TST* LETS ROLL ICE CREAM,Food & Drink,Sale,-16.21,
0233,12/03/2024,12/03/2024,CLAUDE.AI SUBSCRIPTION,Office & Shipping,Sale,-21.32,
0233,12/01/2024,12/03/2024,TST*INCHINS BAMBOO GARD,Food & Drink,Sale,-84.02,
0233,11/30/2024,12/01/2024,MYMIND.COM,Professional Services,Sale,-90.30,
0233,11/25/2024,11/25/2024,CURSOR  AI POWERED IDE,Office & Shipping,Sale,-20.00,
0233,11/21/2024,11/22/2024,ARAMARK SVC CO CITICARD,Food & Drink,Sale,-10.81,
0233,11/21/2024,11/22/2024,PY *SAVERA INDIAN KITCHEN,Food & Drink,Sale,-21.61,
0233,11/20/2024,11/20/2024,APPLE.COM/US,Professional Services,Sale,-107.17,
0233,11/14/2024,11/15/2024,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-21.28,
0233,11/12/2024,11/13/2024,SHAWARMA PRESS-IRVING,Food & Drink,Sale,-12.98,
0233,11/12/2024,11/13/2024,ARAMARK SVC CO CITICARD,Food & Drink,Sale,-3.24,
0233,11/11/2024,11/12/2024,ATMOS ENERGY,Bills & Utilities,Sale,-205.80,
0233,11/11/2024,11/12/2024,SARAVANAA BHAVAN,Food & Drink,Sale,-36.37,
0233,11/11/2024,11/12/2024,SWADESHI PLAZA FLOWER MOU,Food & Drink,Sale,-52.99,
0233,11/11/2024,11/12/2024,SWADESHI PLAZA FLOWER MOU,Food & Drink,Sale,-12.97,
0233,11/10/2024,11/10/2024,AUTOMATIC PAYMENT - THANK,,Payment,494.88,
0233,11/04/2024,11/05/2024,TST* KAKATIYA - LEWISVILL,Food & Drink,Sale,-5.40,
0233,11/04/2024,11/05/2024,TST* KAKATIYA - LEWISVILL,Food & Drink,Sale,-41.10,
0233,11/03/2024,11/05/2024,SP DAYLIGHT CO.,Merchandise & Inventory,Return,100.00,
0233,11/03/2024,11/04/2024,CLAUDE.AI SUBSCRIPTION,Office & Shipping,Sale,-21.32,
0233,10/25/2024,10/25/2024,CURSOR  AI POWERED IDE,Office & Shipping,Sale,-20.00,
0233,10/23/2024,10/24/2024,HOSTINGER* HOSTINGER.C,Professional Services,Sale,-127.67,
0233,10/23/2024,10/24/2024,hostinger.com,Professional Services,Sale,-22.34,
0233,10/19/2024,10/20/2024,NAME-CHEAP.COM* YZY4TK,Professional Services,Sale,-143.96,
0233,10/17/2024,10/17/2024,SP DAYLIGHT CO.,Merchandise & Inventory,Sale,-100.00,
0233,10/16/2024,10/16/2024,TWEETSMASH.COM,Professional Services,Sale,-198.00,
0233,10/14/2024,10/15/2024,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-21.28,
0233,10/10/2024,10/11/2024,PY *SAVERA INDIAN KITCHEN,Food & Drink,Sale,-14.54,
0233,10/10/2024,10/10/2024,AUTOMATIC PAYMENT - THANK,,Payment,1836.22,
0233,10/05/2024,10/07/2024,HELLO INDIA - IRVING,Food & Drink,Sale,-21.95,
0233,10/05/2024,10/06/2024,HELLO INDIA,Food & Drink,Sale,-37.83,
0233,09/29/2024,09/30/2024,SARIGAMA INDIAN CAFE,Food & Drink,Sale,-11.36,
0233,09/27/2024,09/29/2024,SARIGAMA INDIAN CAFE,Food & Drink,Sale,-11.36,
0233,09/25/2024,09/26/2024,TIL*OP INSTA360 SALES,Merchandise & Inventory,Sale,-248.99,
0233,09/25/2024,09/25/2024,CURSOR  AI POWERED IDE,Office & Shipping,Sale,-20.00,
0233,09/19/2024,09/20/2024,SARIGAMA INDIAN CAFE,Food & Drink,Sale,-9.57,
0233,09/14/2024,09/15/2024,MyTaxFiler LLC,Professional Services,Sale,-1440.00,
0233,09/14/2024,09/15/2024,OPENAI *CHATGPT SUBSCR,Office & Shipping,Sale,-21.28,
0233,08/30/2024,09/02/2024,RELIANT HEATING AIR CONDI,Repair & Maintenance,Sale,-298.00,
0233,08/28/2024,08/29/2024,SQ *PRASUNA'S KITCHEN,Food & Drink,Sale,-30.29,
0233,08/26/2024,08/27/2024,ANTHROPIC,Office & Shipping,Sale,-26.65,
0233,08/25/2024,08/26/2024,CURSOR  AI POWERED IDE,Office & Shipping,Sale,-20.00,
0233,08/23/2024,08/23/2024,Payment Thank You - Web,,Payment,427.86,
0233,08/11/2024,08/11/2024,LATE FEE,Fees & Adjustments,Fee,-40.00,
0233,08/05/2024,08/06/2024,TST* HARAZ COFFEE- IRVING,Food & Drink,Sale,-29.22,
0233,07/30/2024,08/01/2024,PIZZA HUT 034496,Food & Drink,Sale,-133.34,
0233,07/22/2024,07/23/2024,COSTCO WHSE #0683,Merchandise & Inventory,Sale,-123.17,
0233,07/21/2024,07/21/2024,CINEMARK 206 ONLINE,Entertainment,Sale,-6.39,
0233,07/16/2024,07/17/2024,ARAMARK SVC CO CITICARD,Food & Drink,Sale,-2.91,
0233,07/14/2024,07/16/2024,DOMINO'S 6976,Food & Drink,Sale,-90.83,
0233,07/15/2024,07/16/2024,HELLO INDIA,Food & Drink,Sale,-2.00,
